type,node_id,parent_id,planet_id,depth,size,x,y,z,r,g,b,image_id
node,planet_0,root,0,0,2243,-1.9318087100982666,9.24231243133545,1.763917088508606,0.3176470588235294,0.34509803921568627,0.23529411764705882,
node,0_node_2255.0_grp_44,planet_0,0,1,68,-1.9653500318527222,9.215700149536133,1.7873305082321167,0.3215686274509804,0.3254901960784314,0.23137254901960785,
node,0_node_2389.0_grp_224,planet_0,0,1,5,-1.8009856939315796,8.807193756103516,2.3920345306396484,0.3058823529411765,0.3137254901960784,0.25098039215686274,
node,0_node_2398.0_grp_234,planet_0,0,1,25,-2.730306386947632,9.222362518310547,1.8046231269836426,0.2627450980392157,0.2980392156862745,0.21568627450980393,
node,0_node_2361.0_grp_195,planet_0,0,1,32,-1.969797968864441,9.158392906188965,1.5864988565444946,0.2901960784313726,0.33725490196078434,0.25098039215686274,
node,0_node_2393.0_grp_230,planet_0,0,1,25,-1.5476057529449463,8.57149887084961,1.7473951578140259,0.27058823529411763,0.2549019607843137,0.24705882352941178,
node,0_node_2337.0_grp_159,planet_0,0,1,23,-1.7155507802963257,9.308082580566406,1.3224480152130127,0.34509803921568627,0.3803921568627451,0.2901960784313726,
node,0_node_2243.0_grp_24,planet_0,0,1,62,-1.7571479082107544,9.268465042114258,1.6762378215789795,0.3254901960784314,0.3215686274509804,0.25098039215686274,
node,0_node_2379.0_grp_214,planet_0,0,1,16,-1.4364815950393677,8.772261619567871,1.4965839385986328,0.3137254901960784,0.32941176470588235,0.3058823529411765,
node,0_node_2261.0_grp_77,planet_0,0,1,147,-2.0093905925750732,9.251089096069336,1.742544174194336,0.3254901960784314,0.35294117647058826,0.24313725490196078,
node,0_node_2415.0_grp_247,planet_0,0,1,17,-2.8335089683532715,9.254632949829102,1.9253484010696411,0.21176470588235294,0.23529411764705882,0.12156862745098039,
node,0_node_2346.0_grp_164,planet_0,0,1,5,-2.1147494316101074,9.48588752746582,2.3816404342651367,0.3254901960784314,0.41568627450980394,0.2,
node,0_node_2367.0_grp_200,planet_0,0,1,14,-2.1540606021881104,8.930597305297852,1.9563143253326416,0.32941176470588235,0.33725490196078434,0.24705882352941178,
node,0_node_2283.0_grp_123,planet_0,0,1,36,-1.8805898427963257,9.408923149108887,1.6522350311279297,0.3411764705882353,0.3568627450980392,0.24313725490196078,
node,0_node_2416.0_grp_249,planet_0,0,1,20,-2.543494701385498,9.754084587097168,1.9409843683242798,0.34509803921568627,0.39215686274509803,0.21568627450980393,
node,0_node_2285.0_grp_129,planet_0,0,1,17,-1.954326868057251,9.12219524383545,1.6768795251846313,0.2823529411764706,0.3058823529411765,0.21568627450980393,
node,0_node_2379.0_grp_215,planet_0,0,1,12,-2.16121768951416,8.92772388458252,2.363124132156372,0.2823529411764706,0.32941176470588235,0.20784313725490197,
node,0_node_2349.0_grp_176,planet_0,0,1,27,-2.0393788814544678,9.114441871643066,1.801964521408081,0.34901960784313724,0.3764705882352941,0.26666666666666666,
node,0_node_2425.0_grp_255,planet_0,0,1,20,-2.479501724243164,8.698165893554688,2.2760813236236572,0.2901960784313726,0.30196078431372547,0.24705882352941178,
node,0_node_2355.0_grp_185,planet_0,0,1,40,-1.9655981063842773,9.140664100646973,2.1043202877044678,0.2549019607843137,0.3215686274509804,0.19215686274509805,
node,0_node_2392.0_grp_228,planet_0,0,1,14,-1.5133037567138672,8.715795516967773,1.390784502029419,0.42745098039215684,0.42745098039215684,0.42745098039215684,
node,0_node_2357.0_grp_189,planet_0,0,1,25,-1.996331810951233,9.394659042358398,1.637585163116455,0.34509803921568627,0.3803921568627451,0.27058823529411763,
node,0_node_2346.0_grp_165,planet_0,0,1,7,-2.2668282985687256,9.462834358215332,2.2363712787628174,0.3254901960784314,0.4117647058823529,0.17647058823529413,
node,0_node_2435.0_grp_259,planet_0,0,1,40,-2.592430353164673,9.850435256958008,1.9588050842285156,0.32941176470588235,0.3803921568627451,0.2196078431372549,
node,0_node_2348.0_grp_171,planet_0,0,1,26,-0.8149634599685669,9.28885555267334,1.7014386653900146,0.35294117647058826,0.3607843137254902,0.2784313725490196,
node,0_node_2259.0_grp_63,planet_0,0,1,94,-1.9523499011993408,9.272212982177734,1.6923316717147827,0.33725490196078434,0.35294117647058826,0.24705882352941178,
node,0_node_2389.0_grp_223,planet_0,0,1,8,-2.15507173538208,8.389215469360352,1.9230340719223022,0.3411764705882353,0.3411764705882353,0.3333333333333333,
node,0_node_2392.0_grp_227,planet_0,0,1,5,-1.6653459072113037,8.990209579467773,1.337669014930725,0.3176470588235294,0.3137254901960784,0.2784313725490196,
node,0_node_2356.0_grp_187,planet_0,0,1,18,-1.9415228366851807,9.174678802490234,2.1555795669555664,0.24705882352941178,0.3411764705882353,0.18823529411764706,
node,0_node_2243,planet_0,0,1,193,-1.8638324737548828,9.13355827331543,1.7302172183990479,0.33725490196078434,0.3411764705882353,0.2549019607843137,
node,0_node_2244,0_node_2243.0_grp_24,0,2,10,-1.4712169170379639,9.116859436035156,1.7591683864593506,0.23921568627450981,0.2235294117647059,0.20784313725490197,
node,0_node_2245,0_node_2243.0_grp_24,0,2,52,-1.8121345043182373,9.297618865966797,1.6602896451950073,0.3411764705882353,0.3411764705882353,0.25882352941176473,
node,0_node_2246,0_node_2245,0,3,14,-1.6552797555923462,9.546445846557617,1.435226321220398,0.396078431372549,0.33725490196078434,0.26666666666666666,
node,0_node_2247,0_node_2245,0,3,36,-1.8599209785461426,9.217556953430176,1.753282070159912,0.3176470588235294,0.34509803921568627,0.2549019607843137,
node,0_node_2248,0_node_2247.0_grp_33,0,2,10,-2.1894571781158447,9.40721607208252,1.8369958400726318,0.4,0.35294117647058826,0.18823529411764706,
node,0_node_2249,0_node_2247.0_grp_33,0,2,24,-1.7765460014343262,9.357253074645996,1.7200795412063599,0.3137254901960784,0.32941176470588235,0.24705882352941178,
node,0_node_2250,0_node_2249,0,3,6,-1.7190371751785278,9.63779067993164,1.760472297668457,0.3333333333333333,0.3803921568627451,0.24705882352941178,
node,0_node_2251,0_node_2249,0,3,18,-1.7957158088684082,9.263740539550781,1.7066152095794678,0.30196078431372547,0.3137254901960784,0.24313725490196078,
node,0_node_2252,0_node_2251.0_grp_38,0,2,15,-2.8301689624786377,10.24141788482666,2.189646005630493,0.33725490196078434,0.3607843137254902,0.2196078431372549,
node,0_node_2253,0_node_2251.0_grp_38,0,2,11,-1.928799033164978,9.254639625549316,1.7296799421310425,0.3411764705882353,0.36470588235294116,0.24313725490196078,
node,0_node_2254,0_node_2253.0_grp_42,0,2,8,-1.7313001155853271,8.441607475280762,1.5495378971099854,0.4549019607843137,0.4588235294117647,0.48627450980392156,
node,0_node_2255,0_node_2253.0_grp_42,0,2,13,-1.977984070777893,9.273560523986816,1.7691893577575684,0.3568627450980392,0.3764705882352941,0.27450980392156865,
node,0_node_2256,0_node_2255.0_grp_44,0,2,11,-2.1668996810913086,8.91579818725586,1.900360107421875,0.3058823529411765,0.2901960784313726,0.17254901960784313,
node,0_node_2257,0_node_2255.0_grp_44,0,2,57,-1.9264545440673828,9.273575782775879,1.7655179500579834,0.3254901960784314,0.3333333333333333,0.24313725490196078,
node,0_node_2258,0_node_2257.0_grp_54,0,2,9,-1.6467698812484741,9.631426811218262,2.016254425048828,0.24313725490196078,0.39215686274509803,0.3215686274509804,
node,0_node_2259,0_node_2257.0_grp_54,0,2,141,-1.931343674659729,9.209996223449707,1.6865311861038208,0.32941176470588235,0.34509803921568627,0.23921568627450981,
node,0_node_2267.0_grp_102,planet_0,0,1,9,-1.111228346824646,8.30251693725586,1.265600323677063,0.42745098039215684,0.40784313725490196,0.3215686274509804,
node,0_node_2262,0_node_2261.0_grp_77,0,2,7,-2.209050416946411,8.894414901733398,1.654234766960144,0.3686274509803922,0.3686274509803922,0.32941176470588235,
node,0_node_2263,0_node_2261.0_grp_77,0,2,140,-1.9994072914123535,9.268925666809082,1.7469594478607178,0.3254901960784314,0.35294117647058826,0.23921568627450981,
node,0_node_2264,0_node_2263.0_grp_95,0,2,16,-2.2731645107269287,9.33556842803955,1.7686567306518555,0.3215686274509804,0.3686274509803922,0.23529411764705882,
node,0_node_2265,0_node_2263.0_grp_95,0,2,38,-1.9441871643066406,9.36534309387207,1.6442903280258179,0.3215686274509804,0.35294117647058826,0.25098039215686274,
node,0_node_2266,0_node_2265,0,3,13,-2.017570734024048,9.511910438537598,1.5315356254577637,0.2784313725490196,0.30980392156862746,0.20784313725490197,
node,0_node_2267,0_node_2265,0,3,23,-1.8756672143936157,9.25696086883545,1.6967116594314575,0.3411764705882353,0.3764705882352941,0.28627450980392155,
node,0_node_2290.0_grp_131,planet_0,0,1,13,-1.1158028841018677,9.116021156311035,1.7967333793640137,0.25098039215686274,0.20784313725490197,0.16862745098039217,
node,0_node_2270,0_node_2269.0_grp_109,0,2,8,-1.3416703939437866,9.557238578796387,1.4893330335617065,0.4196078431372549,0.40784313725490196,0.3058823529411765,
node,0_node_2271,0_node_2269.0_grp_109,0,2,23,-1.8537261486053467,9.262269020080566,1.6024725437164307,0.36470588235294116,0.3843137254901961,0.2627450980392157,
node,0_node_2272,0_node_2271,0,3,6,-1.972522258758545,9.352432250976562,1.6110172271728516,0.37254901960784315,0.4117647058823529,0.25882352941176473,
node,0_node_2273,0_node_2271,0,3,14,-1.813274621963501,9.281305313110352,1.6224391460418701,0.37254901960784315,0.38823529411764707,0.26666666666666666,
node,0_node_2274,0_node_2273.0_grp_111,0,2,21,-2.3413312435150146,9.449888229370117,1.3709746599197388,0.25882352941176473,0.2784313725490196,0.19607843137254902,
node,0_node_2275,0_node_2273.0_grp_111,0,2,20,-2.037199020385742,9.457454681396484,1.5366613864898682,0.3411764705882353,0.3568627450980392,0.24313725490196078,
node,0_node_2276,0_node_2274,0,3,13,-2.3952951431274414,9.466089248657227,1.3928872346878052,0.2627450980392157,0.2823529411764706,0.20392156862745098,
node,0_node_2277,0_node_2274,0,3,7,-2.2643492221832275,9.402844429016113,1.3294957876205444,0.26666666666666666,0.2901960784313726,0.19215686274509805,
node,0_node_2278,0_node_2275,0,3,11,-2.002488136291504,9.418907165527344,1.4828381538391113,0.2980392156862745,0.3176470588235294,0.2196078431372549,
node,0_node_2279,0_node_2275,0,3,13,-1.5750606060028076,9.299970626831055,1.6587244272232056,0.3411764705882353,0.3764705882352941,0.26666666666666666,
node,0_node_2280,0_node_2279,0,4,56,-1.905975341796875,9.235864639282227,1.7007817029953003,0.3137254901960784,0.3333333333333333,0.2196078431372549,
node,0_node_2281,0_node_2279,0,4,6,-1.220314383506775,9.283415794372559,1.5629593133926392,0.27450980392156865,0.3254901960784314,0.26666666666666666,
node,0_node_2282,0_node_2280,0,5,9,-2.017491340637207,8.778213500976562,1.9248690605163574,0.26666666666666666,0.2823529411764706,0.21568627450980393,
node,0_node_2283,0_node_2280,0,5,44,-1.8927130699157715,9.320745468139648,1.6559429168701172,0.3137254901960784,0.33725490196078434,0.2235294117647059,
node,0_node_2284,0_node_2283.0_grp_123,0,2,9,-1.5808098316192627,9.84632682800293,1.1666582822799683,0.3764705882352941,0.3803921568627451,0.29411764705882354,
node,0_node_2285,0_node_2283.0_grp_123,0,2,27,-1.9805166721343994,9.263123512268066,1.814093828201294,0.32941176470588235,0.35294117647058826,0.23137254901960785,
